City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Zlobin,HR,60.1,clear sky,45.2924,14.6541,Hotel Bitoraj Fuzine
1,Lobito,AO,75.92,clear sky,-12.3481,13.5456,Casa Rosa Hotel Residence
3,Grand Gaube,MU,75.6,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
6,Coahuayana,MX,88.83,scattered clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
10,Valparaiso,CL,61.03,overcast clouds,-33.0393,-71.6273,Hotel Ultramar
12,Muisne,EC,80.31,overcast clouds,0.6,-80.0333,Quinta Samay
14,Namatanai,PG,80.49,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
16,Asosa,ET,68.31,overcast clouds,10.0667,34.5333,Blendana Hotel Assosa
17,Songea,TZ,65.5,overcast clouds,-10.6833,35.65,mtakuja
18,Jamestown,US,65.52,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
19,Kapaa,US,79.12,overcast clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
20,Kodiak,US,79.12,overcast clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
21,Clearwater,US,79.12,overcast clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
22,Port Alfred,ZA,62.47,light rain,-33.5906,26.891,The Halyards Hotel
24,Ukiah,US,79.12,overcast clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
27,Havelock,US,79.12,overcast clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
29,Hithadhoo,MV,84.2,light rain,-0.6,73.0833,Scoop Guest House
30,Arraial Do Cabo,BR,75.16,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
32,Saint-Philippe,RE,72.99,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
33,Avarua,CK,80.65,scattered clouds,-21.2078,-159.775,Paradise Inn
34,Barrow,US,79.12,overcast clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
35,Saldanha,ZA,62.47,light rain,-33.5906,26.891,The Halyards Hotel
39,Castro,CL,61.03,overcast clouds,-33.0393,-71.6273,Hotel Ultramar
41,Vaini,TO,73.56,few clouds,-21.2,-175.2,Keleti Beach Resort
42,Ormara,PK,81.36,clear sky,25.2088,64.6357,Kenara Colony house for Rent
43,Cape Town,ZA,62.47,light rain,-33.5906,26.891,The Halyards Hotel
45,Butaritari,KI,81.82,few clouds,3.0707,172.7902,Isles Sunset Lodge
48,Hilo,US,79.12,overcast clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
50,Makakilo City,US,79.12,overcast clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
51,Cayambe,EC,80.31,overcast clouds,0.6,-80.0333,Quinta Samay
52,Paracuru,BR,75.16,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
53,Punta Arenas,CL,61.03,overcast clouds,-33.0393,-71.6273,Hotel Ultramar
54,Ixtapa,MX,88.83,scattered clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
56,Freeport,US,79.12,overcast clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
57,Mar Del Plata,AR,74.95,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
58,Pekan,MY,78.91,overcast clouds,3.4836,103.3996,Pekan Budget Hotel
59,Gidole,ET,68.31,overcast clouds,10.0667,34.5333,Blendana Hotel Assosa
62,Ushuaia,AR,74.95,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
64,Bredasdorp,ZA,62.47,light rain,-33.5906,26.891,The Halyards Hotel
65,Ewa Beach,US,79.12,overcast clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
67,Seydi,TM,84.47,scattered clouds,39.4816,62.9137,Seydi oteli
71,Bethel,US,79.12,overcast clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
72,Lagoa,PT,61.84,scattered clouds,39.05,-27.9833,Casa Das Faias
74,Doha,QA,85.98,clear sky,25.2867,51.5333,Movenpick Hotel Doha
76,Killybegs,IE,60.51,overcast clouds,54.6333,-8.45,Tara Hotel
77,Georgetown,US,65.52,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
78,Abu Dhabi,AE,87.91,clear sky,24.4667,54.3667,Beach Rotana
79,Mumford,GH,82.2,overcast clouds,5.2618,-0.759,Spanish Villa
84,Mahebourg,MU,75.6,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
85,Guipavas,FR,66.25,clear sky,48.4352,-4.3972,Brit Hotel Brest Le Relecq-Kerhuon
87,Hermanus,ZA,62.47,light rain,-33.5906,26.891,The Halyards Hotel
94,East London,ZA,62.47,light rain,-33.5906,26.891,The Halyards Hotel
