City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Zlobin,HR,45.2924,14.6541,60.1,59,0,12.66,clear sky
1,Lobito,AO,-12.3481,13.5456,75.92,87,5,3.91,clear sky
2,Mataura,NZ,-46.1927,168.8643,49.48,97,84,1.52,broken clouds
3,Grand Gaube,MU,-20.0064,57.6608,75.6,79,4,3.0,clear sky
4,Kyzyl-Suu,KG,42.3414,78.0056,55.96,49,0,5.46,clear sky
5,Rikitea,NZ,-46.1927,168.8643,49.48,97,84,1.52,broken clouds
6,Coahuayana,MX,18.7333,-103.6833,88.83,46,41,8.23,scattered clouds
7,Busselton,AU,-33.65,115.3333,56.43,81,4,2.8,clear sky
8,Kuytun,RU,54.3419,101.5036,28.67,62,61,8.5,broken clouds
9,Yulara,AU,-33.65,115.3333,56.43,81,4,2.8,clear sky
10,Valparaiso,CL,-33.0393,-71.6273,61.03,77,100,6.91,overcast clouds
11,Tuktoyaktuk,CA,69.4541,-133.0374,37.4,75,75,14.97,broken clouds
12,Muisne,EC,0.6,-80.0333,80.31,81,94,10.16,overcast clouds
13,New Norfolk,AU,-33.65,115.3333,56.43,81,4,2.8,clear sky
14,Namatanai,PG,-3.6667,152.4333,80.49,82,100,11.23,overcast clouds
15,Khatanga,RU,71.9667,102.5,3.16,97,57,9.08,broken clouds
16,Asosa,ET,10.0667,34.5333,68.31,72,99,3.6,overcast clouds
17,Songea,TZ,-10.6833,35.65,65.5,68,91,2.71,overcast clouds
18,Jamestown,US,42.097,-79.2353,65.52,22,0,8.05,clear sky
19,Kapaa,US,22.0752,-159.319,79.12,80,100,12.66,overcast clouds
20,Kodiak,US,22.0752,-159.319,79.12,80,100,12.66,overcast clouds
21,Clearwater,US,22.0752,-159.319,79.12,80,100,12.66,overcast clouds
22,Port Alfred,ZA,-33.5906,26.891,62.47,85,98,6.33,light rain
23,Bluff,NZ,-46.6,168.3333,49.8,88,100,3.58,overcast clouds
24,Ukiah,US,22.0752,-159.319,79.12,80,100,12.66,overcast clouds
25,Sentyabrskiy,RU,71.9667,102.5,3.16,97,57,9.08,broken clouds
26,Talnakh,RU,71.9667,102.5,3.16,97,57,9.08,broken clouds
27,Havelock,US,22.0752,-159.319,79.12,80,100,12.66,overcast clouds
28,Albany,AU,-33.65,115.3333,56.43,81,4,2.8,clear sky
29,Hithadhoo,MV,-0.6,73.0833,84.2,77,100,20.47,light rain
30,Arraial Do Cabo,BR,-22.9661,-42.0278,75.16,73,75,6.91,broken clouds
31,Nikolskoye,RU,71.9667,102.5,3.16,97,57,9.08,broken clouds
32,Saint-Philippe,RE,-21.3585,55.7679,72.99,82,38,7.74,scattered clouds
33,Avarua,CK,-21.2078,-159.775,80.65,83,40,5.75,scattered clouds
34,Barrow,US,22.0752,-159.319,79.12,80,100,12.66,overcast clouds
35,Saldanha,ZA,-33.5906,26.891,62.47,85,98,6.33,light rain
36,Yellowknife,CA,69.4541,-133.0374,37.4,75,75,14.97,broken clouds
37,Hobart,AU,-33.65,115.3333,56.43,81,4,2.8,clear sky
38,Kadykchan,RU,71.9667,102.5,3.16,97,57,9.08,broken clouds
39,Castro,CL,-33.0393,-71.6273,61.03,77,100,6.91,overcast clouds
40,Christchurch,NZ,-46.6,168.3333,49.8,88,100,3.58,overcast clouds
41,Vaini,TO,-21.2,-175.2,73.56,88,20,8.05,few clouds
42,Ormara,PK,25.2088,64.6357,81.36,83,0,14.45,clear sky
43,Cape Town,ZA,-33.5906,26.891,62.47,85,98,6.33,light rain
44,Beringovskiy,RU,71.9667,102.5,3.16,97,57,9.08,broken clouds
45,Butaritari,KI,3.0707,172.7902,81.82,79,21,15.3,few clouds
46,Nuuk,GL,64.1835,-51.7216,34.41,86,20,13.8,few clouds
47,Belushya Guba,RU,71.9667,102.5,3.16,97,57,9.08,broken clouds
48,Hilo,US,22.0752,-159.319,79.12,80,100,12.66,overcast clouds
49,Igrim,RU,71.9667,102.5,3.16,97,57,9.08,broken clouds
50,Makakilo City,US,22.0752,-159.319,79.12,80,100,12.66,overcast clouds
51,Cayambe,EC,0.6,-80.0333,80.31,81,94,10.16,overcast clouds
52,Paracuru,BR,-22.9661,-42.0278,75.16,73,75,6.91,broken clouds
53,Punta Arenas,CL,-33.0393,-71.6273,61.03,77,100,6.91,overcast clouds
54,Ixtapa,MX,18.7333,-103.6833,88.83,46,41,8.23,scattered clouds
55,Tasiilaq,GL,64.1835,-51.7216,34.41,86,20,13.8,few clouds
56,Freeport,US,22.0752,-159.319,79.12,80,100,12.66,overcast clouds
57,Mar Del Plata,AR,-38.0023,-57.5575,74.95,62,0,25.32,clear sky
58,Pekan,MY,3.4836,103.3996,78.91,90,100,4.16,overcast clouds
59,Gidole,ET,10.0667,34.5333,68.31,72,99,3.6,overcast clouds
60,Baijiantan,RU,54.3419,101.5036,28.67,62,61,8.5,broken clouds
61,Shimoda,JP,34.6667,138.95,57.11,87,100,4.5,overcast clouds
62,Ushuaia,AR,-38.0023,-57.5575,74.95,62,0,25.32,clear sky
63,Shingu,JP,34.6667,138.95,57.11,87,100,4.5,overcast clouds
64,Bredasdorp,ZA,-33.5906,26.891,62.47,85,98,6.33,light rain
65,Ewa Beach,US,22.0752,-159.319,79.12,80,100,12.66,overcast clouds
66,Poum,NC,-20.2333,164.0167,75.79,67,100,14.38,overcast clouds
67,Seydi,TM,39.4816,62.9137,84.47,33,39,22.73,scattered clouds
68,Leningradskiy,RU,71.9667,102.5,3.16,97,57,9.08,broken clouds
69,Pskov,RU,71.9667,102.5,3.16,97,57,9.08,broken clouds
70,Omsukchan,RU,71.9667,102.5,3.16,97,57,9.08,broken clouds
71,Bethel,US,22.0752,-159.319,79.12,80,100,12.66,overcast clouds
72,Lagoa,PT,39.05,-27.9833,61.84,77,48,10.94,scattered clouds
73,Upernavik,GL,64.1835,-51.7216,34.41,86,20,13.8,few clouds
74,Doha,QA,25.2867,51.5333,85.98,28,0,20.71,clear sky
75,Dikson,RU,71.9667,102.5,3.16,97,57,9.08,broken clouds
76,Killybegs,IE,54.6333,-8.45,60.51,80,100,13.04,overcast clouds
77,Georgetown,US,42.097,-79.2353,65.52,22,0,8.05,clear sky
78,Abu Dhabi,AE,24.4667,54.3667,87.91,68,0,6.91,clear sky
79,Mumford,GH,5.2618,-0.759,82.2,82,100,14.09,overcast clouds
80,Amot,NO,59.5714,7.9877,44.64,51,99,4.83,overcast clouds
81,Suntar,RU,71.9667,102.5,3.16,97,57,9.08,broken clouds
82,Esperance,AU,-33.65,115.3333,56.43,81,4,2.8,clear sky
83,Irbeyskoye,RU,71.9667,102.5,3.16,97,57,9.08,broken clouds
84,Mahebourg,MU,-20.0064,57.6608,75.6,79,4,3.0,clear sky
85,Guipavas,FR,48.4352,-4.3972,66.25,70,0,11.5,clear sky
86,Chokurdakh,RU,71.9667,102.5,3.16,97,57,9.08,broken clouds
87,Hermanus,ZA,-33.5906,26.891,62.47,85,98,6.33,light rain
88,Nurobod,UZ,40.9056,69.8023,75.56,36,0,8.03,clear sky
89,Flinders,AU,-33.65,115.3333,56.43,81,4,2.8,clear sky
90,Yuxia,RU,54.3419,101.5036,28.67,62,61,8.5,broken clouds
91,Codrington,AU,-38.2667,141.9667,46.44,91,27,5.21,scattered clouds
92,Louisbourg,CA,69.4541,-133.0374,37.4,75,75,14.97,broken clouds
93,Mount Gambier,AU,-33.65,115.3333,56.43,81,4,2.8,clear sky
94,East London,ZA,-33.5906,26.891,62.47,85,98,6.33,light rain
95,Hays,US,22.0752,-159.319,79.12,80,100,12.66,overcast clouds
96,Lebu,CL,-33.0393,-71.6273,61.03,77,100,6.91,overcast clouds
97,Margate,ZA,-33.5906,26.891,62.47,85,98,6.33,light rain
98,San Felipe,MX,18.7333,-103.6833,88.83,46,41,8.23,scattered clouds
99,Tabou,CI,4.423,-7.3528,79.32,85,100,6.35,overcast clouds
100,Linkoping,SE,58.4109,15.6216,52.18,34,15,8.05,few clouds
101,Coquimbo,CL,-33.0393,-71.6273,61.03,77,100,6.91,overcast clouds
102,Saskylakh,RU,71.9667,102.5,3.16,97,57,9.08,broken clouds
103,Qeshm,IR,26.9581,56.2719,93.07,59,0,14.25,clear sky
104,Arroyo,US,22.0752,-159.319,79.12,80,100,12.66,overcast clouds
105,Emerald,AU,-33.65,115.3333,56.43,81,4,2.8,clear sky
106,Campbellton,CA,69.4541,-133.0374,37.4,75,75,14.97,broken clouds
107,Cherskiy,RU,71.9667,102.5,3.16,97,57,9.08,broken clouds
108,Ahuimanu,US,22.0752,-159.319,79.12,80,100,12.66,overcast clouds
109,Kyra,RU,71.9667,102.5,3.16,97,57,9.08,broken clouds
110,Zhigansk,RU,71.9667,102.5,3.16,97,57,9.08,broken clouds
111,Dawei,MM,14.0833,98.2,78.3,88,100,2.51,light rain
112,Severo-Kurilsk,RU,71.9667,102.5,3.16,97,57,9.08,broken clouds
113,La Ronge,CA,69.4541,-133.0374,37.4,75,75,14.97,broken clouds
114,Impfondo,CG,1.6381,18.0667,78.58,70,69,3.11,broken clouds
115,Tumannyy,RU,71.9667,102.5,3.16,97,57,9.08,broken clouds
116,Geraldton,AU,-33.65,115.3333,56.43,81,4,2.8,clear sky
117,Omboue,GA,-1.5746,9.2618,78.15,91,58,6.11,light rain
118,Sisimiut,GL,64.1835,-51.7216,34.41,86,20,13.8,few clouds
119,Wau,PG,-3.6667,152.4333,80.49,82,100,11.23,overcast clouds
120,Puerto Ayora,EC,0.6,-80.0333,80.31,81,94,10.16,overcast clouds
121,Aklavik,CA,69.4541,-133.0374,37.4,75,75,14.97,broken clouds
