City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Mataura,NZ,2022-05-07 19:34:46,-46.1927,168.8643,57.47,98,100,3.29
1,Punta Arenas,CL,2022-05-07 19:34:46,-53.15,-70.9167,51.12,66,51,24.09
2,Saldanha,ZA,2022-05-07 19:34:47,-33.0117,17.9442,53.65,70,0,20.96
3,Ushuaia,AR,2022-05-07 19:34:47,-54.8,-68.3,53.26,47,20,24.16
4,Port Alfred,ZA,2022-05-07 19:34:48,-33.5906,26.891,64.18,80,100,3.0
5,Serowe,BW,2022-05-07 19:34:48,-22.3833,26.7167,65.91,35,85,3.83
6,Hilo,US,2022-05-07 19:33:35,19.7297,-155.09,88.29,81,20,3.0
7,Codrington,AU,2022-05-07 19:34:49,-38.2667,141.9667,53.38,83,73,8.59
8,Qaanaaq,GL,2022-05-07 19:34:49,77.484,-69.3632,19.76,79,100,1.05
9,Severo-Kurilsk,RU,2022-05-07 19:34:50,50.6789,156.125,39.85,91,100,4.21
10,Cape Town,ZA,2022-05-07 19:30:36,-33.9258,18.4232,58.91,76,0,11.99
11,Esna,EG,2022-05-07 19:34:50,25.2934,32.554,82.42,10,7,9.62
12,Barrow,US,2022-05-07 19:34:51,71.2906,-156.7887,21.22,93,100,10.36
13,Arraial Do Cabo,BR,2022-05-07 19:34:51,-22.9661,-42.0278,75.16,78,40,9.22
14,Butaritari,KI,2022-05-07 19:34:52,3.0707,172.7902,81.5,79,100,15.73
15,Minab,IR,2022-05-07 19:34:52,27.1467,57.0801,80.92,61,0,0.0
16,Kapaa,US,2022-05-07 19:34:52,22.0752,-159.319,80.58,84,100,20.71
17,Ambilobe,MG,2022-05-07 19:34:53,-13.2,49.05,73.11,87,19,4.23
18,Chuy,UY,2022-05-07 19:34:53,-33.6971,-53.4616,66.29,69,51,3.69
19,Upernavik,GL,2022-05-07 19:34:54,72.7868,-56.1549,18.27,78,9,6.96
20,Lewistown,US,2022-05-07 19:34:54,40.5992,-77.5714,49.95,100,100,14.97
21,Kodiak,US,2022-05-07 19:33:21,57.79,-152.4072,53.11,43,0,10.36
22,Yellowknife,CA,2022-05-07 19:34:36,62.456,-114.3525,37.92,100,100,24.16
23,West Helena,US,2022-05-07 19:34:55,34.5507,-90.6418,71.28,59,2,10.33
24,Ancud,CL,2022-05-07 19:34:55,-41.8697,-73.8203,55.63,89,100,17.81
25,Longyearbyen,SJ,2022-05-07 19:34:56,78.2186,15.6401,13.84,62,75,6.91
26,Severnyy,RU,2022-05-07 19:34:56,50.677,36.5532,53.64,32,0,4.47
27,Xinzhou,CN,2022-05-07 19:34:57,38.4092,112.7333,45.34,52,100,6.24
28,Hermanus,ZA,2022-05-07 19:34:57,-34.4187,19.2345,54.81,79,38,4.16
29,Tuktoyaktuk,CA,2022-05-07 19:34:57,69.4541,-133.0374,32.0,86,75,16.11
30,Jamestown,US,2022-05-07 19:34:58,42.097,-79.2353,64.53,42,0,14.97
31,Chokurdakh,RU,2022-05-07 19:34:58,70.6333,147.9167,14.14,95,98,9.93
32,Vao,NC,2022-05-07 19:34:59,-22.6667,167.4833,73.74,63,71,19.46
33,Coquimbo,CL,2022-05-07 19:32:29,-29.9533,-71.3436,58.73,77,100,3.44
34,Itaqui,BR,2022-05-07 19:30:50,-29.1253,-56.5531,67.23,70,79,6.62
35,Padang,ID,2022-05-07 19:34:59,-0.9492,100.3543,77.4,84,100,3.4
36,Nagornyy,RU,2022-05-07 19:35:00,52.7959,83.5498,37.67,43,28,6.8
37,Sines,PT,2022-05-07 19:34:11,37.9562,-8.8698,61.29,85,23,7.67
38,Busselton,AU,2022-05-07 19:35:00,-33.65,115.3333,59.9,65,84,3.13
